node_id,latitude,longitude
219,20.96397185,105.8241642
220,20.957384,105.824202
221,20.96313529,105.8242124
222,20.96466564,105.8242205
223,20.9642148,105.8242285
224,20.96716025,105.8242312
225,20.96296748,105.8242527
226,20.964751,105.824261
227,20.95791,105.824357
228,20.961222,105.824387
229,20.96833,105.824395
230,20.965222,105.824395
231,20.96719,105.824406
232,20.963326,105.824408
233,20.963508,105.824427
234,20.96461805,105.8244297
235,20.9646982,105.8244538
236,20.96809947,105.8244619
237,20.962877,105.824486
238,20.962544,105.82455
239,20.959947,105.824556
240,20.960435,105.825092
241,20.96619848,105.8245826
242,20.964115,105.824607
243,20.962086,105.824644
244,20.967689,105.824695
245,20.956896,105.824719
246,20.96614087,105.8247247
247,20.96409458,105.8247301
248,20.960548,105.824735
249,20.964616,105.824754
250,20.96420478,105.8247596
251,20.959421,105.824803
252,20.96792916,105.8248293
253,20.957334,105.824853
254,20.96444523,105.8248562
255,20.961056,105.824872
256,20.965076,105.824904
257,20.968072,105.824926
258,20.963406,105.824934
259,20.959842,105.824934
260,20.967007,105.824955
261,20.957775,105.824988
262,20.962947,105.825006
263,20.96398688,105.8250439
264,20.96555,105.825055
265,20.962629,105.825055
266,20.96163498,105.82506
267,20.963629,105.825108
268,20.9641071,105.8251271
269,20.967431,105.825151
270,20.96379402,105.825178
271,20.966011,105.825194
272,20.957192,105.825197
273,20.966251,105.825275
274,20.966564,105.825366
275,20.964936,105.825379
276,20.963003,105.825406
277,20.96474579,105.8254141
278,20.96684,105.825433
279,20.959245,105.825436
280,20.962682,105.825465
281,20.96447278,105.8254784
282,20.96466063,105.8254811
283,20.96382407,105.8254865
284,20.9643,105.825489
285,20.963706,105.8255
286,20.96394931,105.8255535
287,20.962201,105.825554
288,20.96175521,105.8255723
289,20.965257,105.832653
290,20.966143,105.825682
291,20.964856,105.825685
292,20.96466564,105.825685
293,20.967691,105.825704
294,20.960215,105.825714
295,20.964385,105.82572
296,20.966469,105.825755
297,20.960598,105.825811
298,20.963744,105.825822
299,20.963589,105.825841
300,20.963108,105.825932
301,20.962857,105.825983
302,20.966076,105.825988
303,20.96275458,105.8260068
304,20.967528,105.826052
305,20.966371,105.826074
306,20.962261,105.82609
307,20.956858,105.826144
308,20.961903,105.826184
309,20.9605805,105.8262509
310,20.956285,105.826425
311,20.964062,105.826428
312,20.963864,105.82646
313,20.967308,105.826538
314,20.963398,105.826549
315,20.95949094,105.8265647
316,20.960678,105.82657
317,20.956625,105.826581
318,20.964979,105.826707
319,20.957116,105.826809
320,20.964137,105.82686
321,20.963932,105.826897
322,20.9594158,105.8269429
323,20.95716152,105.826959
324,20.963476,105.82698
325,20.955962,105.827023
326,20.963035,105.827064
327,20.967831,105.827077
328,20.96005701,105.8271816
329,20.96504384,105.8272004
330,20.9642,105.827208
331,20.963992,105.827243
332,20.95579891,105.8273023
333,20.96450033,105.8273184
334,20.963529,105.827326
335,20.95567868,105.8274767
336,20.956693,105.827522
337,20.96003697,105.8275223
338,20.96024487,105.827584
339,20.956548,105.827801
340,20.965126,105.827863
341,20.96412,105.828045
342,20.955453,105.828174
343,20.96321,105.82822
344,20.968698,105.828228
345,20.96310022,105.8282438
346,20.962269,105.828386
347,20.96872061,105.8284101
348,20.9561045,105.8284369
349,20.95620469,105.8284557
350,20.968931,105.828504
351,20.95627482,105.828504
352,20.96886087,105.8286354
353,20.956628,105.82866
354,20.96904871,105.8287239
355,20.95995933,105.8288285
356,20.9689861,105.8288366
357,20.954454,105.828861
358,20.95607444,105.828909
359,20.9691539,105.8289143
360,20.968673,105.828957
361,20.969099,105.829025
362,20.9561571,105.8290458
363,20.96922403,105.8290753
364,20.95476192,105.8291048
365,20.95471684,105.8292094
366,20.95611201,105.8292308
367,20.965312,105.829327
368,20.96509894,105.8293703
369,20.95635999,105.8294401
370,20.96463057,105.8294508
371,20.955185,105.829472
372,20.964207,105.829523
373,20.96932421,105.8295876
374,20.968838,105.829598
375,20.954424,105.829598
376,20.95861178,105.8296117
377,20.95560354,105.8296171
378,20.963594,105.82963
379,20.95578639,105.8296466
380,20.963458,105.829657
381,20.96565247,105.8297002
382,20.963188,105.829708
383,20.9584139,105.8297136
384,20.962967,105.82974
385,20.954624,105.829749
386,20.962489,105.829829
387,20.95478196,105.8298451
388,20.95609949,105.8298638
389,20.955083,105.829883
390,20.95943584,105.8298907
391,20.963501,105.829931
392,20.96950204,105.829947
393,20.95538813,105.8299738
394,20.9620207,105.8300167
395,20.959376,105.830132
396,20.953765,105.8301321
397,20.954008,105.830285
398,20.95533803,105.8303091
399,20.96578,105.830355
400,20.954271,105.830357
401,20.95492474,105.8303788
402,20.95451896,105.8304244
403,20.95511761,105.8304432
404,20.96529681,105.8304593
405,20.969349,105.830473
406,20.96945445,105.8305156
407,20.96307768,105.8305183
408,20.95555094,105.8305612
409,20.95508004,105.8305693
410,20.96436508,105.8305827
411,20.96421981,105.8306122
412,20.96361869,105.8306417
413,20.95532801,105.8306578
414,20.963779,105.830682
415,20.963098,105.830746
416,20.96363372,105.8307517
417,20.96284976,105.8307946
418,20.962649,105.830816
419,20.96326052,105.8308214
420,20.965865,105.830907
421,20.96548466,105.830977
422,20.96538698,105.8309931
423,20.95534054,105.8310199
424,20.96513401,105.831036
425,20.964851,105.831082
426,20.96549468,105.8310896
427,20.955624,105.831108
428,20.96516406,105.8311379
429,20.964285,105.831181
430,20.96505636,105.8312398
431,20.9629249,105.8312479
432,20.963867,105.831261
433,20.963714,105.831285
434,20.96593048,105.8312908
435,20.965525,105.831293
436,20.96490859,105.8313391
437,20.963363,105.83135
438,20.95459911,105.8313552
439,20.96464059,105.8313739
440,20.96569505,105.8313873
441,20.96553976,105.8314034
442,20.962755,105.83146
443,20.965402,105.831484
444,20.953442,105.831513
445,20.95487214,105.8315295
446,20.962241,105.831551
447,20.95517522,105.8316422
448,20.95448639,105.8316663
449,20.95479198,105.8317548
450,20.95441125,105.8318353
451,20.95427098,105.8318701
452,20.96413465,105.8319104
453,20.96349346,105.8319399
454,20.9657777,105.8319989
455,20.96285477,105.8320069
456,20.96466063,105.8320338
457,20.966048,105.832063
458,20.96591295,105.8320713
459,20.965502,105.832085
460,20.9641622,105.8321035
461,20.95439622,105.8321035
462,20.96402194,105.8321276
463,20.965174,105.832133
464,20.95356462,105.8322456
465,20.95307617,105.8322591
466,20.95476443,105.8322698
467,20.96331813,105.83231
468,20.95499487,105.832361
469,20.95500489,105.8324334
